trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.2, 'e': 0.5057535983897912}",20,0,-64.09217244933403,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
137,False,"{'a': 0.2, 'e': 0.5032248303978422}",30,0,-171.0387157566933,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
138,False,"{'a': 0.2, 'e': 0.500708706245853}",30,0,-52.47901144318365,"{0: 24, 1: 1, 2: 2, 3: 3, 4: 0}",0
139,False,"{'a': 0.2, 'e': 0.4982051627146237}",25,0,-67.26104202262232,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
140,False,"{'a': 0.2, 'e': 0.49571413690105054}",20,0,-61.73596037241355,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
141,False,"{'a': 0.2, 'e': 0.4932355662165453}",25,0,-79.51478586881493,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
142,False,"{'a': 0.2, 'e': 0.4907693883854626}",30,0,-14.012244282502385,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.2, 'e': 0.4883155414435353}",25,16,-88.63394067003044,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 2}",1
144,False,"{'a': 0.2, 'e': 0.4858739637363176}",25,0,-92.80346262478204,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
145,False,"{'a': 0.2, 'e': 0.483444593917636}",25,16,5.858190889393651,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.4810273709480478}",20,0,-126.99091168836465,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
147,False,"{'a': 0.2, 'e': 0.47862223409330756}",30,1,-73.84363372082855,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 1}",1
148,False,"{'a': 0.2, 'e': 0.47622912292284103}",25,0,-140.89570320058033,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
149,False,"{'a': 0.2, 'e': 0.4738479773082268}",20,13,10.116071429377358,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.47147873742168567}",20,0,-7.766812899026594,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
151,False,"{'a': 0.2, 'e': 0.46912134373457726}",30,0,-59.51032492555086,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
152,False,"{'a': 0.2, 'e': 0.46677573701590436}",25,15,-24.480247243607163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.2, 'e': 0.46444185833082485}",20,6,-35.96761949091033,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.2, 'e': 0.46211964903917074}",25,15,-41.589528775502124,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.2, 'e': 0.4598090507939749}",20,8,1.7924181599080193,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
